@title,Русский
#00282,Брин Бовер
#00283,Кори Коу
#00284,Майк Мун
#00285,Джос Мелан
#00286,Пэм Три
#00287,Агнес Хаф
#00288,Мат Двейр
#00289,Джо Ватт
#00290,Тэрри Тил
#00291,Сидни Сал
#00292,Джуди Бэр
#00293,Вал Верди
#00294,Лиор Лонг
#00295,Джон Бессон
#00296,Райан Джонас
#00297,Дэн Блэк
#00298,Андрэ Кант
#00299,Жан Джул
#00300,Каспер Дун
#00301,Кинг Акбан
#00302,Джун Тунака
#00303,Джин Пэйн
#00304,Ди Дакс
#00305,Гризли Би
#00306,Чимпан Зи
#00307,Kairobot
#00308,Салли Прин
#00309,Учитель
#00310,Учитель
#00311,Mayor
#00312,Танцор
#00313,Babysitter
#00314,Coach
#00315,Athlete
#00316,Manager
#00317,Circus
#00318,Athlete
#00319,Kendo
#00320,Ninja
#00321,Wrestler
#00322,Magnate
#00323,Photog
#00324,King
#00325,Samurai
#00326,Lab Work
#00327,Swimmer
#00328,Contractor
#00329,Zoo Keeper
#00330,Mascot
#00331,Shipper
#00332,Обычный
#00333,Серьезный
#00334,Игривый
#00335,Активный
#00336,Кокетл.
#00337,Расслаб.
#00338,Странный
#00339,Лидерск.
#00340,Clumsy
#00341,Charming
#00342,Quiz Contest
#00343,Piano Recital
#00344,Dog Show
#00345,Essay Contest
#00346,Choral Contest
#00347,Fashion Show
#00348,Art Show
#00349,Sports Contest
#00350,Spelling Bee
#00351,Rock Concert
#00352,Quilting Bee
#00353,Film Festival
#00354,Mock UN
#00355,Bonsai Contest
#00356,Birding Fest
#00357,CoОк-Off
#00358,B-Ball Tourney
#00359,Soccer Tourney
#00360,Poetry Jam
#00361,Science Fair
#00362,Review Drill
#00363,Sports Drill
#00364,Ethics Drill
#00365,Indoor Shoes
#00366,Club Card
#00367,Pheromones
#00368,Career BoОк
#00369,Smart Strap
#00370,Cupid Arrow
#00371,Devil Arrow
#00372,Name BoОк
#00373,Use on student|to boost Int.
#00374,Use on student|to boost Ath.
#00375,Use on student|to boost Att.
#00376,Boosts student|movement range.
#00377,Changes a|student's club.
#00378,Use on student|to boost Pop.
#00379,Changes student|Career Path.
#00380,Greatly boosts|student's Int.
#00381,Creates a|couple.
#00382,Breaks up a|couple.
#00383,Use to change|someone's name.
#00384,Part-timer
#00385,Jr College
#00386,College
#00387,Ivy League
#00388,Tech Inst
#00389,Мал. бизнес
#00390,Ср. бизнес
#00391,Б. бизнес
#00392,Big Corp
#00393,UN Work
#00394,Politician
#00395,CEO
#00396,Astronaut
#00397,Doctor
#00398,Медсестра
#00399,K Teacher
#00400,Fire Chief
#00401,Artist
#00402,Novelist
#00403,Reporter
#00404,Designer
#00405,Sec Guard
#00406,P. Officer
#00407,Кондуктор
#00408,Диктор
#00409,IT
#00410,Game Dev.
#00411,Translator
#00412,Повар
#00413,Bus Guide
#00414,Journalist
#00415,Pro Gamer
#00416,Модель
#00417,Певец
#00418,Актер
#00419,Танцор
#00420,Celebrity
#00421,Поп-звезда
#00422,Comedian
#00423,Sommelier
#00424,Patissier
#00425,Florist
#00426,Пекарь
#00427,Storyteller
#00428,B-Ball Pl.
#00429,Soccer Pl.
#00430,Cardmaker
#00431,Gambler
#00432,Adventurer
#00433,Spy
#00434,Aristocrat
#00435,Oil Baron
#00436,Int Design
#00437,Vet
#00438,Copywriter
#00439,Pilot
#00440,Director
#00441,Wizard
#00442,President
#00443,Robotics
#00444,Ведение заметок
#00445,Сельское хоз.
#00446,Тест по англ.
#00447,Тест по матем.
#00448,Тест по испанс.
#00449,Тест по науке
#00450,Тест по социолог.
#00451,Manners Drill
#00452,Speech Drill
#00453,Novel Reading
#00454,Abacus Drill
#00455,Spanish Vocab
#00456,Spanish Convo
#00457,Ethics Class
#00458,War Stories
#00459,Science Drill
#00460,Video Games
#00461,Comedy DVD
#00462,Watch Movie
#00463,Prof's Lecture
#00464,Brain Training
#00465,Singing Lsns
#00466,Volunteer
#00467,Programming
#00468,Park Stroll
#00469,Haiku Contest
#00470,Baseball Cont
#00471,Corn Roast
#00472,=#00345
#00473,Field Study
#00474,=#00361
#00475,Марафон
#00476,Field Trip
#00477,Swim Meet
#00478,Bingo Contest
#00479,Art Festival
#00480,Karate Tourney
#00481,Computer Fair
#00482,Athletic Meet
#00483,Choral Comp
#00484,School Mixer
#00485,=#00347
#00486,School Trip
#00487,Ski Lesson
#00488,Stroll in a nearby park.|An inexpensive activity.
#00489,Write haiku poetry.|Popular with nerds.
#00490,Play a series of|baseball games.
#00491,What's better than a good|old-fashioned corn roast?
#00492,Host an essay contest.|Not popular with jocks.
#00493,Take a trip to|observe and study.
#00494,Host science projects.|Popular with preppies.
#00495,Very popular with jocks.|Not so much with others.
#00496,Get some fresh air|with friends.
#00497,Only well-equipped|schools can host one.
#00498,An inexpensive activity|that needs no equipment.
#00499,Perfect for fall.|Unpopular with jocks.
#00500,Train your body and mind.|Wax on, wax off...
#00501,Learn about computers.|Popular with preppies.
#00502,Everyone loves this,|especially jocks.
#00503,Have everyone sing|their hearts out.
#00504,An event where students|can make new friends.
#00505,Design unique outfits and|show off on the catwalk.
#00506,A staple of school life.|Everyone loves them.
#00507,Bring home memories and|maybe brОкen bones.
#00508,Английск.
#00509,Орфография
#00510,Грамматика
#00511,Написание эссе
#00512,Латинские корни
#00513,Математ.
#00514,Базовая математика
#00515,Алгебра
#00516,Расширенная алгебра
#00517,Геометрия
#00518,Тригонометрия
#00519,Испанский
#00520,Произношение
#00521,Словарный запас
#00522,Спряжения
#00523,Письменная речь
#00524,Устная речь
#00525,Наука
#00526,Научный метод
#00527,Биология
#00528,Химия
#00529,Генетика
#00530,Физика
#00531,История
#00532,Мировая история
#00533,История Европы
#00534,История Азии
#00535,Древний Рим
#00536,Древняя Греция
#00537,Agricult.
#00538,Weeding
#00539,Fertilizing
#00540,Planting
#00541,Harvesting
#00542,Biotechnology
#00543,ФР
#00544,Freeze Tag
#00545,Sit-Ups
#00546,Running Laps
#00547,Chin-Ups
#00548,Марафон
#00549,Comput.
#00550,Mousing
#00551,Keyboarding
#00552,Spreadsheets
#00553,AI
#00554,Музыка
#00555,Reading Music
#00556,Recorder
#00557,Piano
#00558,Writing Music
#00559,Perfect Pitch
#00560,Philo.
#00561,Plato
#00562,Socrates
#00563,Aristotle
#00564,Causality
#00565,Metaphysics
#00566,Spring Break
#00567,Summer Break
#00568,Winter Break
#00569,1st Sem Start
#00570,2nd Sem Start
#00571,3rd Sem Start
#00572,Exams
#00573,Closing Ceremony
#00574,Graduation
#00575,Disaster Drill
#00576,Enrollment Ceremony
#00577,Placement Test
#00578,S Abroad Dep
#00579,S Abroad Ret
#00580,Событие
#00581,MVP Award
#00582,Stray Dog
#00583,Love Event
#00584,Club Departure
#00585,Club Return
#00586,Support Dep
#00587,Студент по обмену
#00588,Cucumber
#00589,Potato
#00590,Radish
#00591,Orange
#00592,Cabbage
#00593,Peach
#00594,Cherry
#00595,Corn
#00596,Banana
#00597,Mango
#00598,Не в клубе
#00599,Бейсб. к-б
#00600,Футбол. к-б
#00601,Теннисн. к-б
#00602,Баскетб. к-б
#00603,Лыжн. к-б
#00604,Танцев. к-б
#00605,Худож. к-б
#00606,Театрал. к-б
#00607,Хоров. к-б
#00608,Компьют. к-б
#00609,Band Club
#00610,Вышив. к-б
#00611,Политич. к-б
#00612,К-б наст. игр
#00613,Уфолог. к-б
#00614,Роботостр. к-б
#00615,<0>
#00616,<0>
#00617,<0>
#00618,No Class
#00619,<0>-<1>
#00620,Yr <0>
#00621,Applicants
#00622,Applicant Info
#00623,Всего
#00624,Growth Since Last Year
#00625,Same
#00626,Boy
#00627,Girl
#00628,Local
#00629,Nerd
#00630,Jock
#00631,Preppy
#00632,Getting Data
#00633,Запуск игры
#00634,Authenticating
#00635,Помощница директора
#00636,Исслед. «<0>»
#00637,Исслед. «<0>»
#00638,<0> #<1>
#00639,<0> #<1>
#00640,You cannot add more buildings.
#00641,Object limit reached.
#00642,Max number reached.
#00643,Building failed.
#00644,You made your first <0>!
#00645,You don't seem to have any classrooms! You'd better build some soon!
#00646,The school's overall average was <0> pts. 
#00647,Our national ranking was... #<0>!
#00648,The score was the same as last time, putting our national ranking at... #<0>!
#00649,We went up <1> pts since last time, for a national ranking of <0>!
#00650,The difference is <1> pts since last time, for a national ranking of <0>!
#00651,<0>'s career path changed to <1>.
#00652,New career path: <0>
#00653,Request received: <0>
#00654,=#00653
#00655,New facilities unlocked.
#00656,Max <0> increased.
#00657,You got some <0> seeds.
#00658,Плох.
#00659,Дерзк.
#00660,Обычн.
#00661,Хорош.
#00662,Ангел.
#00663,Aura has been used up.
#00664,Aura activated!
#00665,Thank you! I feel so fired up now!/I'll do my best to bring the students up to this level!
#00666,На данный момент существует <1> экземпляр <0>. 
#00667,Depending on the surroundings, you can harvest some crops.
#00668,Depending on the surroundings, the product price will increase.
#00669,Teachers can discover 
#00670,no Research Points here now.
#00671, and 
#00672, Research Points here.
#00673,/Attribute(s):|
#00674,exhibit no change.
#00675, increase(s).
#00676, increase(s), and 
#00677, decreases.
#00678,/This <0> is part of a popular spot, increasing effectiveness.
#00679,Our school has its first couple!
#00680,Couple #<0> in school history!
#00681,Study sessions today: <0>.
#00682,<0>'s grades increased!
#00683,<0>'s max amount is <1>.
#00684,<0> joined the <1>.
#00685,Каждая классная комната вмещает до 4 студентов
#00686,Каждая учительская вмещает до 4 учителей
#00687,Let's lay down some paths! Tap to set a starting point, then drag. Tap again to build.
#00688,Зажмите объект и перемещайте, чтобы разместить его в желаемом месте. Нажмите на объект, чтобы подтвердить расположение.
#00689,We don't have any students... This isn't good./Hurry up and build a classroom!
#00690,No available guides...
#00691,Наблюдение за <0>...
#00692,On this screen, you can try academic challenges for each subject./If you succeed, you can increase monthly tuition./Education level is shared by the entire school.
#00693,У вас нет предметов, которые может использовтаь <0>.
#00694,Moving to: <0>
#00695,There is no classroom for <0>! Hurry and build one!
#00696,Class <0> has nowhere to go! Build a classroom!
#00697,Не могу поверить, что я наконец-то в <0>! Обещаю хорошо учиться!
#00698,Переводиться в новую школу страшно, но я буду стараться.
#00699,Меня охватывает такое волнение, что вчера даже не вышло сомкнуть глаза и поспать.
#00700,My family moved near <0>, so here I am. I'll do my best.
#00701,I thought I wouldn't be able to sleep last night, but I went out like a light!
#00702,/By the way, my parents want to donate to the school./Please take this <1> and use it for the school.
#00703,You got a donation of <0>.
#00704,<0> is studying abroad.
#00705,<0> is not at school.
#00706,This is our first <0>. I'll make sure it's a big success.
#00707,I understand. I'll make this <0> a big success.
#00708,/Watch and see how many students change clothes like me.
#00709,You don't have enough money...
#00710,<0> is going to ask someone out!
#00711,You don't have enough <1> Points to level up <0>.
#00712,Thanks to you, my abilities have reached their limits. Please focus on the other teachers.
#00713,<0> is now level <1>!/Their salary went up by <2>% and they got <3> Education Points!
#00714,I found some new teacher candidates, but there are too many system objects present./Remove some unused facilities or decorative items and try again.
#00715,I loОкed for new teacher candidates, but couldn't find any...
#00716,We had <0> applicants for the new teaching position!
#00717,Going to: <0>
#00718,The event caused a reduction in potential applicants...
#00719,The event caused an increase in potential applicants!
#00720,You found a new career path!/Career paths can be used by any student in the school./Students' attributes and grades increase according to their career paths. And some paths may trigger special events./See if your students realize their dream at the placement ceremony at the end of the 3rd year.
#00721,Окay, we'll skip the event for now, but let's do something good next time!
#00722,I guess my youth is over. I'll try to behave at my next school. Goodbye...
#00723,That's too bad, but I understand. I'll come and visit sometime./Say goodbye to the students for me...
#00724,<0> начато
#00725,On this screen, you can try academic challenges for each subject./If you succeed, you can increase monthly tuition./The education level is shared by the entire school.
#00726,Request for <0> is <1>% complete.
#00727,No new research requests have arrived.
#00728,We can't make items at the moment./Increase the size of the school to make items.
#00729,No items can be created at the moment.
#00730,<0> creation is <1>% complete.
#00731,Our school doesn't have any clubs.
#00732,They managed to catch the dog safely. Good thing there was no damage.
#00733,They managed to catch the dog safely. Let's try to avoid damage next time.
#00734,All challenges for <0> complete!
#00735,/It's an honor to be the one to complete the final challenge. 
#00736,=#00735
#00737,Monthly tuition has increased by <0>./Let me try challenges in other subjects!
#00738,It's like taking candy from a baby. 
#00739,That's what studying every day does for you. 
#00740,My rabbit's foot must really be working. 
#00741,The grades of all students at the school have increased. 
#00742,Monthly tuition increased by <0>./Let me try some other challenges!
#00743,I'm sorry. I studied, but I just couldn't pass. 
#00744,That's funny. I thought I was just barely going to pass, but… 
#00745,I failed... And got a good night's sleep last night, too… 
#00746,But I did manage to get <0> Research Points! 
#00747,I'd like to try again sometime!
#00748,Well done. You made it through the 1st semester./Everyone returns for the 2nd semester after summer break./Students are most productive in the 2nd semester.
#00749,Our school has increased in size!/You can now get more students and build more facilities./To get to the next level, you must make a Popular Spot./Make these by building certain things near each other./Check the Spot Guide for more info!
#00750,We are now a Promising School!/Now we can make items!/The next step is becoming a Major School!/But we'll need more students and higher grades./And don't forget to make more Popular Spots!
#00751,Congrats! We're now a Major School!/It's been a long road, but it's all been worth it./New facilities and careers are now available./I can't wait to see what the future brings!
#00752,We are now a Prestigious School!/There are only a few of these in the entire world!/Even I didn't think we could make it this far! Congratulations!/Keep up the good work!
#00753,We've grown even more, and now we're a Legendary School!/Even I don't even know what changes that will bring...
#00754,Yes! This is my chance to show what I can do!
#00755,I'll work hard to make the best of my time here.
#00756,Actually, let's decline this time to concentrate on our studies.
#00757,The Teachers' Room is full. You'll have to dismiss someone to hire a new teacher.
#00758,Quack quack quackity quaaaack!|(I'll do my best!)
#00759,Hello again. I hope I can help <0> become a world-famous school.
#00760,I'll make the Banana Club a big success./Huh? You don't have a Banana Club?/.../I see...
#00761,Thanks for finding me!/With me at your school, the students are sure to do well!/Keep playing Kairosoft games!
#00762,Well, well, you finally found me./I'm all over the place--on boats, at restaurants, even in space.../Keep a sharp eye in the future!
#00763,Thank you! I'll help make <0> a great school!
#00764,I hope you'll use my experience to help the students at <0>.
#00765,I'll do my best./I can't wait to see what the students at <0> are like.
#00766,Thanks. I'll work hard to make sure you don't regret this!
#00767,Hiring me should boost your grades by 20% at least!
#00768,Thank you. I'll try to be the kind of teacher the students will love.
#00769,Not enough <0> Points.
#00770,Not enough <1> Points.
#00771,Not enough funds.
#00772,Starting <0>
#00773,Congrats! You passed the <0> test!
#00774,/<0> level is at the maximum!
#00775,/<0> level is now <1>!
#00776,Overall tuition went up by <0>!
#00777,<0> test failed...
#00778,<1> студента поступили в <0>!/
#00779,С текущего момента, студенты будут учиться и использовать школьное оборудование./Для получения подсказки, выберите "Помощь" в пункте меню "Система"./Сначала попробуйте построить различные помещения, чтобы расширить свою школу.
#00780,The 1st year students will now move on to a 2nd year classroom./It'll be nice to have new students at school.
#00781,We've finally got graduating students this year. I hope their career plans work out...
#00782,Give the 3rd years career guidance, but don't forget the other students!
#00783,It's inspiring to see so many young faces filled with hope./I'm sure they'll do just fine out in the world.
#00784,/And the graduating class has donated a Totem Pole to the school!
#00785,/And the graduating class has donated a Cherry Tree to the school!
#00786,/Well, we can't get too emotional.../We have to prepare for new students next month!
#00787,I'm back. I went to the <0> but.../I overslept at my hotel and only made it to half of the event./So I only got half of the money, but please use it for the school.
#00788,I'm back. I went to the <0> but.../I was late and missed half of the event./So I only got half of the money, but please use it for the school.
#00789,I'm back! The <0> went great! It was lots of fun./And they seemed to think I did well, since they gave me double the money!/Please use it for the school.
#00790,I'm back! The <0> went great! It was lots of fun./And I got the money they promised us, too./Please use it for the school.
#00791,/I can't wait to get back to my studies at <0>.
#00792,You got <1> for the <0>.
#00793,We just got back from the competition!/
#00794,It was our first time, so we were a little nervous.../
#00795,Since we've placed #<0> before, all eyes were on us.../
#00796,We were trying to beat our previous ranking of #<0>.../
#00797,And we won!/
#00798,And we came in #<0>! 
#00799,We're going to work hard to make our school famous for its <0>!
#00800,I'm glad we were able to beat our record. We'll keep working hard.
#00801,We didn't quite beat our record, but we'll keep at it.
#00802,We'll work hard to make our school's name famous across the country!
#00803,Well, at least we did about as well as we did last time. Next time we'll try to do better!
#00804,/The sponsor of the competition also gave us the following as a reward: <0> 
#00805,Congratulations.
#00806,New high rank: #<0>
#00807,=#00805
#00808,Your <0> came in #<1>.
#00809,Плата за перевод <1> (<0>): <2>
#00810,Transfer Student
#00811,That was a very memorable <0>./
#00812,During our stroll, a man from the neighborhood gave us a Fishing Kit!/I'd like to change and go fishing at a nearby lake.
#00813,And during the show, one of the artists gave us a Sketching Kit!/I'd like to use it to draw some pictures of the school.
#00814,I got interested in photography, so I saved up and bought a SLR Camera Kit!/I'd like to use it to take some nice photos of the school.
#00815,During the competition, a man in the neighborhood gave us a Boat!/We can use it to cross the lake.
#00816,One of the students who came to cheer us on gave us a Skateboard!/We can use it to move around outside.
#00817,One of the students from the north gave us some Skates!/We can use them to cross the lake in the winter.
#00818,One of the athletes there gave us some Skis!/We can use them to move around outside in the winter.
#00819,I'm loОкing forward to the rest of my time here at school.
#00820,The article decreased|the number of|potential students...
#00821,The article greatly increased|the number of|potential students...
#00822,The article increased|the number of|potential students...
#00823,Our placement rate was <0>%! Total income was <1>, and we get <2>% (<3>) in contributions!
#00824,/Everyone's dreams came true!/Let's try to keep our placement rate high next year too.
#00825,/Most students had their dreams come true!/Let's try to keep our placement rate high next year too.
#00826,/Those results aren't too bad./Let's try to get a higher placement rate next year.
#00827,/Hmm... Not great.../Let's try to get a higher placement rate next year.
#00828,/Ouch. That was painful.../We'll, let's try to do better next year.
#00829,/Any students who don't get placed will do part-time work after graduating./Let's hope their dreams come true eventually.
#00830,You've already successfully performed two challenges this month./You don't want to leave some students behind, so try next month.
#00831,<0> is already at the maximum!
#00832,You can't take a challenge without any teachers! Hire some right away!
#00833,On the next screen you will choose the student to perform the challenge./The results will change depending on their abilities./Also keep in mind that challenges cost money.
#00834,=#00709
#00835,<0>'s Sister School Level is already at the maximum.
#00836,<0> is studying at <1>./You can only have study abroad students at one school at a time.
#00837,We got into the top <0>|for the first time!
#00838,We finally reached #1|in the national rankings!
#00839,/We got a special bonus of <0>!
#00840,I wonder how well we can do next time!
#00841,We couldn't get a score without any students.../I hope we get some transfer students soon.
#00842,We're improving. I can't wait to see how we do next time.
#00843,Our rank went down from last time, but let's keep at it.
#00844,You got a test bonus of <0>.
#00845,Это место сейчас пусто, но мы можем получить студента по обмену, если наша школа будет достаточно привлекательной.
#00846,We don't have any teachers! We have to hire some immediately!
#00847,There's no school today.
#00848,Everyone has gone home.
#00849,There are no students in this class.
#00850,There are no available students.
#00851,It's time to prepare for the <0>.
#00852,/You will now choose a student planner for the <0>./They'll try to drum up interest in the next month, so its success depends on them.
#00853,/Who do you want to plan the <0>?
#00854,Congratulations! You got a new high score!
#00855,Unfortunately, you didn't get a new high score.
#00856,/You can keep playing the game, but your high score won't change./When you start a new game, your facility levels will carry over, even on other maps!/Good luck!
#00857,You can now research a <0>!
#00858,Understood. My new career path is <0>./Wish me luck.
#00859,You gave career guidance to <0>!
#00860,It didn't have any effect...
#00861,<0>'s <1> went from |<2> to <3>!
#00862,<0>'s <1> went from |<2> to <3>...
#00863,<0>'s <1> improved!
#00864,<0>'s <1> got worse...
#00865,<0>'s movement range |went from <1> to <2>!
#00866,There are no clubs at the school...
#00867,Which club should <0> join?
#00868,<0>'s career path is already set to <1>.
#00869,Choose career guidance for <0>!
#00870,<0> is already going out with <1>.
#00871,There's no one they can ask out...
#00872,<0> isn't part of a couple.
#00873,They brОкe up...
#00874,<0> and <1> brОкe up...
#00875,Renaming <0>!
#00876,You can't make any more of these now.
#00877,You don't have enough <1> Points to make a <0>.
#00878,Starting to create a <0>...
#00879,The <0> is out of school at a competition. Let's wait until they return.
#00880,There are no <0> members...
#00881,You don't have a <0> room, so you can't participate./Make a new club room (or remove one and make a new one if you are at the max).
#00882,There are no competitions at the end of the year. Wait until spring.
#00883,You don't have enough money for the trip...
#00884,Understood. Let's show everyone how hard we've been working!
#00885,This day has come at last! Let's win that competition!
#00886,/We even have a member with an aura, so we should do well.
#00887,Starting <0> construction.
#00888,Starting construction of a(n) <0> room!/Club activities can start when it's done.
#00889,This student already belongs to the <0>.
#00890,<0> has joined the <1>!
#00891,<0>, huh? Understood./I'm sure I'll pass. Maybe I'll even discover a new career path!
#00892,<0>? I like the sound of that. /
#00893,I want to be the first in our school. 
#00894,Time to work hard! <0>, here we go!
#00895,You don't have enough money…
#00896,We changed our school uniforms! The new ones should be ready by next semester.
#00897,We got new uniforms.
#00898,Displaying student info. Scroll up or down to show detailed info./Press the Follow button to the left to follow the student.
#00899,We don't have any clubs yet.
#00900,=#00709
#00901,Destroying paths./If you're not careful you could make it impossible for people to come to school./Make sure your Gate is connected to other facilities without any gaps.
#00902,Path destroyed.
#00903,Lake destroyed.
#00904,<0> destroyed.
#00905,Destroying the <0>./Until you build another Teachers' Room, no teachers can come to school./You should build another one soon to avoid adverse effects on the students.
#00906,You can't destroy the Main Gate.
#00907,You can't destroy the <0>.
#00908,Raising terrain.
#00909,Lowering terrain.
#00910,Incompatible terrain.
#00911,There is an obstacle below.
#00912,Cannot build here.
#00913,Max for this facility reached.
#00914,Can only be built at the bottom left of the map.
#00915,Can only be built at the bottom right of the map.
